Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Brazil,BRA,1985,9.790892,54.091652,,0,527.45294,9.593637,25.739506,116.54804,628.43634
Brazil,BRA,1983,9.52699,35.638332,,,447.9099,0,17.629381,79.83681,611.24536
Brazil,BRA,1984,9.103141,44.14031,,,492.6137,4.662037,20.518612,98.5913,610.0693
Brazil,BRA,2009,73.02445,160.77116,0,3.4573774,1091.9171,34.72314,206.68614,129.20715,1218.8019
Brazil,BRA,2008,63.161774,148.09232,0,3.3242989,1038.475,37.666557,256.60886,160.13234,1231.772
Brazil,BRA,1982,6.9541354,24.80579,,,417.32578,0,13.037024,70.991806,655.04785
Brazil,BRA,2007,57.6622,108.08048,0,1.8740958,1057.573,33.509514,218.01636,157.87172,1183.2921
Brazil,BRA,1981,5.980987,17.817741,,,386.6707,0,9.12389,67.15785,643.2869
Brazil,BRA,1980,5.763551,19.460564,,,381.1766,0,10.168068,68.64476,667.90845
Brazil,BRA,1979,5.669417,15.8962145,,,344.7258,0,8.698108,62.928658,688.5365
Brazil,BRA,2006,47.390377,81.880554,0,0.6743608,992.4927,37.55473,211.69781,148.97397,1126.7306
Brazil,BRA,2005,43.55149,85.1891,0,0.26601112,966.2783,27.078781,201.27115,151.0846,1101.6764
Brazil,BRA,1978,4.2518373,11.557998,,,303.81882,0,7.9377837,57.935013,646.7667
Brazil,BRA,2004,39.95061,80.951706,0,0.17578083,924.42505,32.106987,193.22482,156.65688,1083.5645
Brazil,BRA,2003,38.113205,72.71927,0,0.1769075,886.3243,37.17461,162.47292,149.41873,1048.2212
Brazil,BRA,2002,32.784405,76.281456,0,0.1780489,835.0557,38.753277,145.16252,144.01038,1077.904
Brazil,BRA,1977,3.5651987,6.4297576,,,276.41934,0,6.0319047,50.386036,590.5332
Brazil,BRA,2001,28.801365,70.38952,0,0.102528885,786.9629,40.253777,122.86193,148.78801,1099.6735
Brazil,BRA,1999,26.737911,86.1763,0,0.005913972,866.39795,11.284797,77.880455,141.80779,1044.3267
Brazil,BRA,2000,25.075924,75.091156,0,0.002957,900.1172,17.155615,97.04505,151.18149,1091.0947
Brazil,BRA,1998,23.958237,85.93735,0,0.014784943,861.8712,9.264486,65.63152,140.04022,1042.4209
Brazil,BRA,1997,23.555117,86.4819,0,0.011827944,824.91864,8.9920845,62.624912,142.97125,1003.6971
Brazil,BRA,1996,21.556028,89.89064,0,0.005913972,785.7779,6.8866487,57.627487,142.11913,921.4849
Brazil,BRA,1975,2.7682078,3.2140584,,,213.75188,0,4.196989,37.225246,538.16486
Brazil,BRA,1976,2.7591426,2.9493003,,,245.17284,0,4.835661,39.726395,579.715
Brazil,BRA,1974,2.5063648,3.3467155,,,194.2121,0,3.8624463,31.31228,522.1538
Brazil,BRA,1973,2.3967085,3.582667,,,171.1801,0,2.0072556,29.51856,470.9368
Brazil,BRA,1972,2.2874384,4.30411,,,149.86317,0,1.7538141,30.035912,388.73825
Brazil,BRA,1971,2.0219269,3.4898133,,,127.738976,0,1.2773445,28.53244,342.16653
Brazil,BRA,2020,187.51598,246.24341,28.228252,149.83165,1041.0116,35.415028,314.23697,163.13281,1228.7523
Brazil,BRA,2021,177.88312,243.48631,43.835308,189.14905,949.37866,36.922523,404.4645,197.9085,1327.6416
